institution,location,year,rank,ovr_score,academic_reputation,employer_reputation,cite_per_paper,h_index_citation
University of Twente,Netherlands,2019,101-150,NaN,56.2,63,84.3,84.7
University of Zurich,Switzerland,2019,101-150,NaN,65.2,60.7,79.2,75
Uppsala University,Sweden,2019,101-150,NaN,68.3,56.1,91.8,73.5
Utrecht University,Netherlands,2019,101-150,NaN,64.9,58.9,77.4,79
Western University,Canada,2019,101-150,NaN,59.5,77.9,77.9,82.5
Xi’an Jiaotong University,China (Mainland),2019,101-150,NaN,66.3,59.2,83.3,83.6
Yonsei University,South Korea,2019,101-150,NaN,68.7,78.6,64.7,65
Beijing Institute of Technology,China (Mainland),2019,151-200,NaN,59.7,52.5,72.8,73.5
Beijing Jiaotong University,China (Mainland),2019,151-200,NaN,51.4,46.1,84.4,82.5
Beijing Normal University,China (Mainland),2019,151-200,NaN,56.7,61.2,81.7,79
Brown University,United States,2019,151-200,NaN,61.7,67.3,77.1,68.7
Cardiff University,United Kingdom,2019,151-200,NaN,54.2,58.5,81.2,79
Charles University,Czech Republic,2019,151-200,NaN,57.9,60.9,74.4,76.4
"City, University of London",United Kingdom,2019,151-200,NaN,58.7,59.6,74.6,68.7
Colorado State University,United States,2019,151-200,NaN,55,60.6,73.3,79
Indian Institute of Technology Bombay (IITB),India,2019,151-200,NaN,64.3,79.9,61.9,63
Indian Institute of Technology Kanpur (IITK),India,2019,151-200,NaN,62.5,66.2,71.5,77.7
Indian Institute of Technology Kharagpur (IIT-KGP),India,2019,151-200,NaN,62.6,64.1,74,72
King Abdulaziz University (KAU),Saudi Arabia,2019,151-200,NaN,51.8,57.4,84.5,85.7
Université Laval,Canada,2019,151-200,NaN,52.3,65.9,83.4,82.5
Maastricht University,Netherlands,2019,151-200,NaN,63.3,59.2,73.9,76.4
Massey University,New Zealand,2019,151-200,NaN,65.8,73.1,64.8,66.9
Middle East Technical University,Turkey,2019,151-200,NaN,62.5,58.2,65.6,73.5
National Central University,Taiwan,2019,151-200,NaN,56.2,66.6,74.5,77.7
Osaka University,Japan,2019,151-200,NaN,66.2,68.3,69.8,68.7
Renmin (People's) University of China,China (Mainland),2019,151-200,NaN,64.8,62.9,67.1,68.7
Rice University,United States,2019,151-200,NaN,61.2,63.9,72.7,68.7
Ruhr-Universität Bochum,Germany,2019,151-200,NaN,58.5,48.5,73,75
Saint Petersburg State University,Russia,2019,151-200,NaN,56.4,76.2,65.4,73.5
Sharif University of Technology,"Iran, Islamic Republic of",2019,151-200,NaN,57.2,62,77,80.2
Sun Yat-sen University,China (Mainland),2019,151-200,NaN,56.1,63.7,78.4,75
Tel Aviv University,Israel,2019,151-200,NaN,56.1,49.3,81.7,77.7
The University of Georgia,United States,2019,151-200,NaN,59.7,49.1,72.4,73.5
The University of Western Australia,Australia,2019,151-200,NaN,62.8,77.8,64,66.9
Tohoku University,Japan,2019,151-200,NaN,62.8,64.7,63.3,66.9
Complutense University of Madrid,Spain,2019,151-200,NaN,57.2,73.2,74.5,72
Universidade Federal de Minas Gerais,Brazil,2019,151-200,NaN,60.3,54,71.1,70.4
Universidade Federal do Rio de Janeiro,Brazil,2019,151-200,NaN,66.6,64.4,68.1,66.9
University of Naples - Federico II,Italy,2019,151-200,NaN,51.5,62.6,78.2,83.6
Universitat Autònoma de Barcelona,Spain,2019,151-200,NaN,68.3,60.5,69.1,65
Universitat de Valencia,Spain,2019,151-200,NaN,56.4,60.6,73.3,73.5
University Ulm,Germany,2019,151-200,NaN,61.2,47,68,73.5
Université du Québec,Canada,2019,151-200,NaN,51.7,61.5,81.5,76.4
Université Diderot Paris 7,France,2019,151-200,NaN,59.5,37.4,79.7,81.4
Université Paul Sabatier Toulouse III,France,2019,151-200,NaN,66.1,59.2,67,73.5
Universiti Malaya (UM),Malaysia,2019,151-200,NaN,67.3,69.7,68.9,65
Universiti Sains Malaysia (USM),Malaysia,2019,151-200,NaN,61.3,63.9,67.1,70.4
University College Dublin,Ireland,2019,151-200,NaN,57.1,75.8,73.1,76.4
University of Calgary,Canada,2019,151-200,NaN,60.3,66.6,74.1,70.4
UCT Graduate School of Business,South Africa,2019,151-200,NaN,63.1,58.1,66.4,65
University of Gothenburg,Sweden,2019,151-200,NaN,62.1,50,71.1,68.7
University of Illinois at Chicago (UIC),United States,2019,151-200,NaN,54.8,66.2,74.2,76.4
University of Leeds,United Kingdom,2019,151-200,NaN,56.1,62,80.6,76.4
University of Pittsburgh,United States,2019,151-200,NaN,56.3,47.5,83.6,80.2
University of Strathclyde,United Kingdom,2019,151-200,NaN,60.4,64.6,76.7,75
University of Texas Dallas,United States,2019,151-200,NaN,55.6,58.4,81.4,81.4
University of Virginia,United States,2019,151-200,NaN,52.6,54.7,93.6,72
University of Wollongong,Australia,2019,151-200,NaN,60.2,73.7,72.2,70.4
Washington University in St. Louis,United States,2019,151-200,NaN,58.4,56.1,80.6,75
Xiamen University,China (Mainland),2019,151-200,NaN,56.4,50.6,78.4,76.4
Massachusetts Institute of Technology (MIT),United States,2018,1,99.3,100,99.1,96.8,100
Harvard University,United States,2018,=2,94.8,92.4,99.9,95.8,97
Stanford University,United States,2018,=2,94.8,93.9,96.2,93.9,97
"University of California, Berkeley (UCB)",United States,2018,4,93.8,91.5,91.2,95.2,99.3
University of Cambridge,United Kingdom,2018,5,92.2,89.4,99.7,93.1,94.5
University of Oxford,United Kingdom,2018,6,91.7,88.1,98.9,93.5,95.3
Georgia Institute of Technology,United States,2018,7,88.6,90.4,73.5,88.2,91.8
Carnegie Mellon University,United States,2018,=8,88.1,85.5,82.4,92,93.6
Princeton University,United States,2018,=8,88.1,86.2,87,93.6,88
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,2018,10,87.9,86.3,73,92.7,94.5
National University of Singapore (NUS),Singapore,2018,11,87.1,82.3,91.3,87.2,97
Imperial College London,United Kingdom,2018,12,86.4,83.9,83.1,89,91.8
Columbia University,United States,2018,13,86.1,81.5,86.1,88.4,95.3
University of Michigan-Ann Arbor,United States,2018,14,85.7,81,76.8,89.8,97.7
University of Washington,United States,2018,15,85.6,82.3,76.3,89.4,94.5
"University of California, Los Angeles (UCLA)",United States,2018,16,85.1,82.1,83.9,90.4,88
University of Toronto,Canada,2018,17,84,75.3,87.3,96.3,91.8
Cornell University,United States,2018,18,83.8,82.5,79.4,86.1,86.9
University of Chicago,United States,2018,19,83.1,81.7,81.4,86.7,83.6
Tsinghua University,China (Mainland),2018,20,82.6,76.9,86.6,88.4,89
Duke University,United States,2018,21,81.9,78.5,76,85.1,89.9
The University of Tokyo,Japan,2018,=22,81.8,80.6,91.4,80.7,81.2
University of Pennsylvania,United States,2018,=22,81.8,75.3,79.8,91.1,89.9
University of Wisconsin-Madison,United States,2018,24,81.3,79.1,69.2,91.6,82.4
The University of Melbourne,Australia,2018,25,81.2,73.2,100,87,85.8
The Hong Kong University of Science and Technology,Hong Kong SAR,2018,26,80.8,74.1,89.8,89.1,84.7
UCL,United Kingdom,2018,27,80.7,71.2,77.4,97,89.9
The London School of Economics and Political Science (LSE),United Kingdom,2018,=28,80.3,82.2,90.6,76.2,74.4
The University of Hong Kong,Hong Kong SAR,2018,=28,80.3,72.6,91.7,89.6,84.7
The University of Warwick,United Kingdom,2018,30,80.2,74.6,82,84.7,89
Johns Hopkins University,United States,2018,31,79.8,74.7,70.5,92.1,84.7
"University of North Carolina, Chapel Hill",United States,2018,=32,79.2,73.1,67.1,87.9,91.8
Yale University,United States,2018,=32,79.2,74.4,88.9,86.7,78.7
Peking University,China (Mainland),2018,=34,79.1,76.1,91.3,83.6,75.9
Purdue University,United States,2018,=34,79.1,76.4,76.7,83.8,82.4
The Australian National University,Australia,2018,36,78.2,70.3,93.9,92.3,75.9
Monash University,Australia,2018,37,78.1,70.1,91.5,87.3,82.4
"University of California, San Diego (UCSD)",United States,2018,38,78,67,73.2,100,85.8
University of British Columbia,Canada,2018,39,77.8,72.5,79.1,84.6,83.6
Pennsylvania State University,United States,2018,=40,77.7,70.4,72.1,87.3,89
Université de Montréal,Canada,2018,=40,77.7,70.3,69.2,91.1,86.9
Texas A&M University,United States,2018,42,77.6,73.9,61,83.6,89
"Nanyang Technological University, Singapore (NTU)",Singapore,2018,=43,77.4,71.1,83,86.5,81.2
The University of Auckland,New Zealand,2018,=43,77.4,70.5,89.9,89.8,75.9
City University of Hong Kong,Hong Kong SAR,2018,45,76.7,65.4,85,90.5,86.9
KU Leuven,Belgium,2018,46,76.6,68.5,72,87.5,88
Shanghai Jiao Tong University,China (Mainland),2018,47,76.5,65.6,81.6,89.6,88
McGill University,Canada,2018,=48,76.4,70.5,76.8,83.6,83.6
New York University (NYU),United States,2018,=48,76.4,71,76.3,88.8,77.3
University of Illinois at Urbana-Champaign,United States,2018,50,76.2,71.1,75.7,84,81.2
Arizona State University,United States,2018,51-100,NaN,61.1,63.9,90.4,84.7
Boston University,United States,2018,51-100,NaN,60.3,66.4,95.6,84.7
"Ecole normale supérieure, Paris",France,2018,51-100,NaN,62.7,70.6,77.8,69.7
Eindhoven University of Technology,Netherlands,2018,51-100,NaN,69.5,56.7,89.2,88
Erasmus University Rotterdam,Netherlands,2018,51-100,NaN,65.8,70.5,87.6,74.4
Fudan University,China (Mainland),2018,51-100,NaN,64.2,82,82.3,81.2
Humboldt-Universität zu Berlin,Germany,2018,51-100,NaN,64,69.2,81.7,77.3
Korea University,South Korea,2018,51-100,NaN,60.4,89,74.3,71.3
KTH Royal Institute of Technology,Sweden,2018,51-100,NaN,64.3,66.1,90.5,75.9
Lancaster University,United Kingdom,2018,51-100,NaN,65.7,67.7,86.4,77.3
Ludwig-Maximilians-Universität München,Germany,2018,51-100,NaN,63.4,66.5,81.1,80
McMaster University,Canada,2018,51-100,NaN,55.5,77.3,87.7,77.3
Michigan State University,United States,2018,51-100,NaN,59.3,61.4,85.8,82.4
National Tsing Hua University,Taiwan,2018,51-100,NaN,62.1,86.2,71.2,69.7
North Carolina State University,United States,2018,51-100,NaN,68.3,57.4,87.1,86.9
Northwestern University,United States,2018,51-100,NaN,69.8,74.6,87.6,81.2
The Ohio State University,United States,2018,51-100,NaN,58,65.7,87,86.9
RWTH Aachen University,Germany,2018,51-100,NaN,66.5,63.8,85.2,69.7
Rutgers University–New Brunswick,United States,2018,51-100,NaN,53.5,55.9,98.3,83.6
Seoul National University,South Korea,2018,51-100,NaN,68.6,90.8,77.9,75.9
Technische Universität Berlin (TU Berlin),Germany,2018,51-100,NaN,71.4,63.9,80.6,72.9
The Chinese University of Hong Kong (CUHK),Hong Kong SAR,2018,51-100,NaN,67.7,84.9,83.7,81.2
The Hong Kong Polytechnic University,Hong Kong SAR,2018,51-100,NaN,59.9,75.3,93.7,93.6
The University of Manchester,United Kingdom,2018,51-100,NaN,66.4,78.8,83.2,85.8
The University of New South Wales (UNSW Sydney),Australia,2018,51-100,NaN,63.5,91.7,80.9,78.7
University of Nottingham,United Kingdom,2018,51-100,NaN,67.3,71,90.2,84.7
The University of Queensland,Australia,2018,51-100,NaN,63.6,86.5,95.7,78.7
The University of Sydney,Australia,2018,51-100,NaN,65.4,94.7,83.9,82.4
Tokyo Institute of Technology (Tokyo Tech),Japan,2018,51-100,NaN,68.4,76.1,67.6,64.1
Universidade de São Paulo,Brazil,2018,51-100,NaN,65.3,77.2,76.5,84.7
Alma Mater Studiorum - University of Bologna,Italy,2018,51-100,NaN,62.9,75.6,82.7,80
Universitat de Barcelona,Spain,2018,51-100,NaN,62.2,74.7,75.3,75.9
University of Vienna,Austria,2018,51-100,NaN,58.1,66.1,86.5,89
Université catholique de Louvain (UCLouvain),Belgium,2018,51-100,NaN,68.6,63.8,83.3,85.8
"Université Paris-Dauphine, Université PSL",France,2018,51-100,NaN,60.2,67.3,78.2,84.7
Université Pierre et Marie Curie (UPMC),France,2018,51-100,NaN,65.8,69.2,83.7,89
University of Amsterdam,Netherlands,2018,51-100,NaN,67.9,69.2,86.4,86.9
University of Bristol,United Kingdom,2018,51-100,NaN,64.3,69,87,84.7
"University of California, Davis",United States,2018,51-100,NaN,65.2,62.8,86.9,81.2
University of Copenhagen,Denmark,2018,51-100,NaN,63.9,59.6,78.9,74.4
The University of Edinburgh,United Kingdom,2018,51-100,NaN,65.5,78.3,78,72.9
University of Florida,United States,2018,51-100,NaN,61.9,50.9,84.4,80
Ghent University,Belgium,2018,51-100,NaN,54.8,62.9,89.6,81.2
University of Lisbon,Portugal,2018,51-100,NaN,52.5,78,85.8,85.8
"University of Maryland, College Park",United States,2018,51-100,NaN,58.1,59.8,89,85.8
University of Minnesota Twin Cities,United States,2018,51-100,NaN,68.7,49.7,86.1,90.9
University of Southampton,United Kingdom,2018,51-100,NaN,65.4,72.6,86.3,77.3
University of Texas at Austin,United States,2018,51-100,NaN,68.2,76.2,84.9,78.7
University of Waterloo,Canada,2018,51-100,NaN,64.6,87.1,77.2,72.9
Virginia Polytechnic Institute and State University,United States,2018,51-100,NaN,65.5,67.8,86.6,77.3
Vrije Universiteit Amsterdam,Netherlands,2018,51-100,NaN,59.2,57.7,81.5,81.2
Aarhus University,Denmark,2018,101-150,NaN,62.5,61.9,75.7,74.4
Brown University,United States,2018,101-150,NaN,60.3,68.3,74.7,64.1
Chalmers University of Technology,Sweden,2018,101-150,NaN,59.2,52.5,67,71.3
University of Göttingen,Germany,2018,101-150,NaN,57,41.1,78.1,77.3
The Hebrew University of Jerusalem,Israel,2018,101-150,NaN,51.5,51.7,80.1,74.4
Indian Institute of Technology Delhi (IITD),India,2018,101-150,NaN,57.8,82.1,63.1,59.9
Indian Statistical Institute,India,2018,101-150,NaN,53.6,65,69.1,72.9
Iowa State University,United States,2018,101-150,NaN,63.7,45.3,76.8,75.9
Leiden University,Netherlands,2018,101-150,NaN,50.6,56.5,81.6,82.4
Lomonosov Moscow State University,Russia,2018,101-150,NaN,64.3,90.6,59.8,57.6
Lund University,Sweden,2018,101-150,NaN,54.2,47.9,80.4,75.9
Nanjing University,China (Mainland),2018,101-150,NaN,55.4,73.2,70,62.1
National Cheng Kung University (NCKU),Taiwan,2018,101-150,NaN,52.3,84.8,76.6,74.4
National Chiao Tung University,Taiwan,2018,101-150,NaN,57.1,88,72.9,74.4
Pontificia Universidad Católica de Chile (UC),Chile,2018,101-150,NaN,61.5,76.5,67.7,66.1
Queensland University of Technology (QUT),Australia,2018,101-150,NaN,58.6,73.3,71.6,62.1
Sapienza University of Rome,Italy,2018,101-150,NaN,57.9,68.2,76.6,77.3
Stockholm University,Sweden,2018,101-150,NaN,52.4,64.2,85.7,67.9
Sungkyunkwan University(SKKU),South Korea,2018,101-150,NaN,58.4,87.2,66.5,64.1
The University of Georgia,United States,2018,101-150,NaN,60,41.1,71.3,72.9
The University of Sheffield,United Kingdom,2018,101-150,NaN,54.7,69.5,73.1,67.9
Tilburg University,Netherlands,2018,101-150,NaN,58.1,61.8,74.5,75.9
Universidad Carlos III de Madrid (UC3M),Spain,2018,101-150,NaN,59.5,77,73.7,64.1
Complutense University of Madrid,Spain,2018,101-150,NaN,50,78.4,71.9,71.3
Universidade Estadual de Campinas (Unicamp),Brazil,2018,101-150,NaN,64.3,64.2,71.9,69.7
Università di Padova,Italy,2018,101-150,NaN,49.6,65.2,84.3,81.2
Universitat Autònoma de Barcelona,Spain,2018,101-150,NaN,63.2,67.5,64.9,59.9
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,2018,101-150,NaN,53,70.7,79,67.9
Universiti Malaya (UM),Malaysia,2018,101-150,NaN,61.8,82.2,70.7,62.1
University of Alberta,Canada,2018,101-150,NaN,55.8,62.7,79.3,81.2
University of Bath,United Kingdom,2018,101-150,NaN,45.8,70.8,84.4,75.9
University of Birmingham,United Kingdom,2018,101-150,NaN,54.4,74.5,71.6,66.1
University of Calgary,Canada,2018,101-150,NaN,56.3,67.6,71.2,66.1
"University of California, Irvine",United States,2018,101-150,NaN,54.3,57.8,81,75.9
"University of California, Santa Barbara (UCSB)",United States,2018,101-150,NaN,56,48.1,76.4,72.9
University of Glasgow,United Kingdom,2018,101-150,NaN,56.4,63.3,88.7,59.9
University of Groningen,Netherlands,2018,101-150,NaN,51.3,47.7,84.9,78.7
University of Helsinki,Finland,2018,101-150,NaN,55.4,50.9,74.2,74.4
University of Iowa,United States,2018,101-150,NaN,51.1,59.1,77.7,74.4
University of Pittsburgh,United States,2018,101-150,NaN,52.3,48.8,79.9,75.9
University of Southern California,United States,2018,101-150,NaN,52.1,63,87.2,81.2
University of Strathclyde,United Kingdom,2018,101-150,NaN,52.9,62.9,73.8,69.7
University of Technology Sydney,Australia,2018,101-150,NaN,52.7,82.6,68.1,67.9
University of Virginia,United States,2018,101-150,NaN,50.6,64.5,89.6,67.9
Uppsala University,Sweden,2018,101-150,NaN,55.8,54.8,85.8,66.1
Utrecht University,Netherlands,2018,101-150,NaN,52,50.6,81.7,71.3
Western University,Canada,2018,101-150,NaN,55.9,71.8,80.3,78.7
Yonsei University,South Korea,2018,101-150,NaN,59.1,87.3,61.2,59.9
Zhejiang University,China (Mainland),2018,101-150,NaN,57.7,78.9,79.7,69.7
Beihang University (former BUAA),China (Mainland),2018,151-200,NaN,41.6,52,84.8,80
Beijing Jiaotong University,China (Mainland),2018,151-200,NaN,43.2,36.9,83.3,81.2
Beijing Normal University,China (Mainland),2018,151-200,NaN,45.9,57.5,76.1,72.9
Cardiff University,United Kingdom,2018,151-200,NaN,41.6,63.9,77.7,78.7
"City, University of London",United Kingdom,2018,151-200,NaN,47.8,68.2,73.9,69.7
Harbin Institute of Technology,China (Mainland),2018,151-200,NaN,43.8,59,74.6,72.9
Indian Institute of Technology Bombay (IITB),India,2018,151-200,NaN,59.4,90.8,59.5,52.5
Indian Institute of Technology Kanpur (IITK),India,2018,151-200,NaN,49.1,79.3,68.1,71.3
Indian Institute of Technology Kharagpur (IIT-KGP),India,2018,151-200,NaN,47.1,78.6,68,64.1
Indiana University Bloomington,United States,2018,151-200,NaN,40.9,64.7,83.9,81.2
King Fahd University of Petroleum & Minerals,Saudi Arabia,2018,151-200,NaN,57.8,67.4,55,57.6
Université Laval,Canada,2018,151-200,NaN,44.4,64,78.5,78.7
Maastricht University,Netherlands,2018,151-200,NaN,54,54.1,69,62.1
Massey University,New Zealand,2018,151-200,NaN,55.8,81.5,59.3,57.6
Middle East Technical University,Turkey,2018,151-200,NaN,51.4,66.2,62.7,69.7
Nankai University,China (Mainland),2018,151-200,NaN,45.1,59.3,79,74.4
National Central University,Taiwan,2018,151-200,NaN,50.8,72.4,70.4,71.3
National Technical University of Athens,Greece,2018,151-200,NaN,47.5,70.6,70.1,64.1
Osaka University,Japan,2018,151-200,NaN,57.7,73.7,63,55.1
Rice University,United States,2018,151-200,NaN,49.2,54.8,73.7,69.7
RMIT University,Australia,2018,151-200,NaN,51.4,77.2,64.4,57.6
Sun Yat-sen University,China (Mainland),2018,151-200,NaN,43.5,68.3,74,69.7
Vienna University of Technology,Austria,2018,151-200,NaN,51.2,58,66.3,64.1
Tel Aviv University,Israel,2018,151-200,NaN,50.6,44.2,79.6,75.9
The University of Western Australia,Australia,2018,151-200,NaN,52.5,86.9,62.5,62.1
Tongji University,China (Mainland),2018,151-200,NaN,39.2,62.4,84.4,78.7
Universidad de Sevilla,Spain,2018,151-200,NaN,44.1,67.2,75.1,67.9
Universitat Politècnica de València,Spain,2018,151-200,NaN,53.2,62.3,68.6,62.1
Universidade Federal de Minas Gerais,Brazil,2018,151-200,NaN,51.9,56.2,66.9,64.1
Universidade Federal do Rio de Janeiro,Brazil,2018,151-200,NaN,56.5,60.9,63.2,66.1
Universidade Nova de Lisboa,Portugal,2018,151-200,NaN,43.5,76.3,73.4,78.7
University of Pisa,Italy,2018,151-200,NaN,50,72.8,71.4,71.3
Universitat de Valencia,Spain,2018,151-200,NaN,52.6,69.4,68.7,62.1
Université du Québec,Canada,2018,151-200,NaN,44.9,63.2,76.2,77.3
Université Diderot Paris 7,France,2018,151-200,NaN,46.3,38.3,77.6,72.9
Université Paris-Saclay,France,2018,151-200,NaN,38.3,61.6,83.7,81.2
Université Paul Sabatier Toulouse III,France,2018,151-200,NaN,56.8,31.7,63.2,67.9
Universiti Kebangsaan Malaysia (UKM),Malaysia,2018,151-200,NaN,52.9,73.8,57.9,66.1
Universiti Sains Malaysia (USM),Malaysia,2018,151-200,NaN,53.7,75.7,59.5,59.9
The University of Arizona,United States,2018,151-200,NaN,49.8,52.4,74.6,69.7
University of Geneva,Switzerland,2018,151-200,NaN,44.2,50.1,84.4,74.4
University of Illinois at Chicago (UIC),United States,2018,151-200,NaN,47.5,61.2,70,66.1
University of Leeds,United Kingdom,2018,151-200,NaN,50.1,65.2,75.1,69.7
University of Liverpool,United Kingdom,2018,151-200,NaN,49.4,63.8,68,62.1
University of Massachusetts Amherst,United States,2018,151-200,NaN,45.9,52.3,76.9,75.9
University of Rochester,United States,2018,151-200,NaN,52.4,48.8,68.1,67.9
"The University of Tennessee, Knoxville",United States,2018,151-200,NaN,39.3,57.9,88.8,71.3
University of Twente,Netherlands,2018,151-200,NaN,45,56.1,85.9,78.7
University of Zurich,Switzerland,2018,151-200,NaN,52.3,65.8,73.4,66.1
Victoria University of Wellington,New Zealand,2018,151-200,NaN,55.1,74.5,53.5,57.6
Xi’an Jiaotong University,China (Mainland),2018,151-200,NaN,48.1,53.8,80.4,77.3
Harvard University,United States,2017,1,98.1,99,100,95.7,97.4
Massachusetts Institute of Technology (MIT),United States,2017,2,98,98.5,96.3,95.8,100
Stanford University,United States,2017,3,97.4,100,94.4,93.2,96.5
"University of California, Berkeley (UCB)",United States,2017,4,96.6,98,88.3,94.5,99.2
University of Cambridge,United Kingdom,2017,5,95.2,95.4,97.3,92.4,96.5
University of Oxford,United Kingdom,2017,6,94.5,94.6,97.5,92.7,94.6
Georgia Institute of Technology,United States,2017,7,91.8,97.2,71,87.7,92.6
National University of Singapore (NUS),Singapore,2017,8,91.1,91.5,89.5,87.3,94.6
Carnegie Mellon University,United States,2017,9,90.1,91.2,75.1,91.3,93.6
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,2017,10,89.9,90.1,76.2,90.5,95.5
Imperial College London,United Kingdom,2017,11,89.5,91.2,81.7,88.2,90.4
University of Washington,United States,2017,12,88.1,88.1,75.4,88.8,93.6
University of Michigan-Ann Arbor,United States,2017,13,88,86.4,71.6,89.9,98.3
"University of California, Los Angeles (UCLA)",United States,2017,14,87.8,87.6,82.8,90.6,88.1
Columbia University,United States,2017,15,87.7,86.1,79.1,88.2,95.5
Cornell University,United States,2017,16,87.5,88.7,76.6,86,91.5
Princeton University,United States,2017,=17,87.4,87.9,82.9,93,82.9
University of Toronto,Canada,2017,=17,87.4,82,86.6,93.9,94.6
The University of Tokyo,Japan,2017,19,86,87.4,90.5,82.1,84.3
University of Chicago,United States,2017,=20,85.5,87,77.8,86.7,84.3
The University of Hong Kong,Hong Kong SAR,2017,=20,85.5,81.4,93.1,89.1,88.1
Tsinghua University,China (Mainland),2017,=22,84.8,80.9,87.7,88.6,89.3
University of Pennsylvania,United States,2017,=22,84.8,80.9,76.4,90.7,92.6
The University of Warwick,United Kingdom,2017,24,84.1,84,76.5,85.1,86.9
University of Wisconsin-Madison,United States,2017,25,83.7,85,71.5,87.3,82.9
The Hong Kong University of Science and Technology,Hong Kong SAR,2017,26,83.6,79.8,88,88.9,85.6
UCL,United Kingdom,2017,27,83.3,78.5,70.2,96,89.3
Duke University,United States,2017,28,82.7,81.5,69.8,85.4,89.3
Yale University,United States,2017,29,82.5,79.7,89.2,87.1,81.5
The University of Melbourne,Australia,2017,30,82.2,79.1,86.1,86.1,84.3
"University of North Carolina, Chapel Hill",United States,2017,31,82.1,79.9,57.9,88.1,93.6
Johns Hopkins University,United States,2017,=32,81.9,79.6,65.6,90.8,86.9
"Nanyang Technological University, Singapore (NTU)",Singapore,2017,=32,81.9,77,82.8,88.6,86.9
Université de Montréal,Canada,2017,34,81.4,76.5,74.2,90.3,88.1
Purdue University,United States,2017,35,80.7,80.9,72.3,83.4,81.5
The Australian National University,Australia,2017,36,80.4,77.7,79.4,91,76.9
McGill University,Canada,2017,37,80.2,76.5,79.9,84.1,85.6
The London School of Economics and Political Science (LSE),United Kingdom,2017,=38,80.1,81.4,89.2,77.3,75.1
University of British Columbia,Canada,2017,=38,80.1,77,79.8,85.1,82.9
New York University (NYU),United States,2017,40,80,73.4,74.3,92.2,86.9
Peking University,China (Mainland),2017,=41,79.9,76,91.5,83.8,80
Texas A&M University,United States,2017,=41,79.9,79.1,61.6,84.1,86.9
Pennsylvania State University,United States,2017,43,79.8,75.4,68.4,87,89.3
Seoul National University,South Korea,2017,=44,79.5,78.3,88.3,79.1,78.5
The Hong Kong Polytechnic University,Hong Kong SAR,2017,=44,79.5,68.5,78.3,93.7,93.6
KU Leuven,Belgium,2017,46,78.8,72.9,70.4,87.2,89.3
University of Amsterdam,Netherlands,2017,47,78.3,72.7,65.1,88,89.3
"University of California, San Diego (UCSD)",United States,2017,48,78.2,68.5,60.5,100,89.3
The University of Auckland,New Zealand,2017,49,78,73.6,82.1,86.2,78.5
Northwestern University,United States,2017,50,77.9,74.4,70.1,88.5,80
Aarhus University,Denmark,2017,51-100,NaN,65.9,63.8,78,78.5
Arizona State University,United States,2017,51-100,NaN,63.6,67.1,90.1,85.6
Boston University,United States,2017,51-100,NaN,63.1,65.7,95,86.9
City University of Hong Kong,Hong Kong SAR,2017,51-100,NaN,68.9,82.5,89.8,84.3
"Ecole normale supérieure, Paris",France,2017,51-100,NaN,70,65,79.3,73.3
Eindhoven University of Technology,Netherlands,2017,51-100,NaN,72.9,59.3,89.1,88.1
Erasmus University Rotterdam,Netherlands,2017,51-100,NaN,71.2,70.5,88.1,73.3
Fudan University,China (Mainland),2017,51-100,NaN,62.1,82.4,83.6,81.5
Humboldt-Universität zu Berlin,Germany,2017,51-100,NaN,69,61.2,82.3,81.5
Korea University,South Korea,2017,51-100,NaN,74.5,86.1,74.8,69.4
KTH Royal Institute of Technology,Sweden,2017,51-100,NaN,64.8,67.8,89,78.5
Lancaster University,United Kingdom,2017,51-100,NaN,72.7,49.5,85.8,78.5
Ludwig-Maximilians-Universität München,Germany,2017,51-100,NaN,66.3,57.2,82,78.5
Michigan State University,United States,2017,51-100,NaN,61,64.9,85.9,81.5
Monash University,Australia,2017,51-100,NaN,69.9,79.9,85.3,81.5
National Tsing Hua University,Taiwan,2017,51-100,NaN,74.7,80.4,73.8,69.4
North Carolina State University,United States,2017,51-100,NaN,73.9,50.6,87.3,85.6
The Ohio State University,United States,2017,51-100,NaN,62.8,59.1,85.9,88.1
RWTH Aachen University,Germany,2017,51-100,NaN,72.2,63.8,78,67.3
Rutgers University–New Brunswick,United States,2017,51-100,NaN,58.1,58.3,96.1,88.1
Shanghai Jiao Tong University,China (Mainland),2017,51-100,NaN,67.2,83.2,87.6,85.6
Technische Universität Berlin (TU Berlin),Germany,2017,51-100,NaN,74.3,68.9,80.4,75.1
The Chinese University of Hong Kong (CUHK),Hong Kong SAR,2017,51-100,NaN,72.3,77.2,85,80
The University of Manchester,United Kingdom,2017,51-100,NaN,70.7,72.3,84.2,85.6
The University of New South Wales (UNSW Sydney),Australia,2017,51-100,NaN,69,81.1,81.7,82.9
University of Nottingham,United Kingdom,2017,51-100,NaN,69.4,64.9,90.4,86.9
The University of Queensland,Australia,2017,51-100,NaN,68.7,76.4,92.5,80
The University of Sydney,Australia,2017,51-100,NaN,71.8,83.9,83.3,76.9
Tokyo Institute of Technology (Tokyo Tech),Japan,2017,51-100,NaN,75.3,66,70.5,67.3
Universidade de São Paulo,Brazil,2017,51-100,NaN,69.9,72.5,77.5,84.3
Università di Padova,Italy,2017,51-100,NaN,61.6,57.1,86,86.9
