,score,name,rank,country,district
724,42.3,New Mexico State University,71,United States,"Las Cruces, NM"
725,42.3,University of Brasilia,71,Brazil,Brasília
726,42.3,University of the Republic - Uruguay,71,Uruguay,Montevideo
727,42.2,Jiangnan University,71,China,"Wuxi, Jiangsu"
728,42.2,Mohammed V University,71,Morocco,Rabat
729,42.2,University of Camerino,71,Italy,Camerino
730,42.2,University of Haifa,71,Israel,Haifa
731,42.1,Montpellier SupAgro,71,France,Montpellier
732,42.1,National Chiao Tung University,71,Taiwan,Hsinchu
733,42.1,Universite de Brest,71,France,Brittany
734,42,Cranfield University,72,United Kingdom,"Cranfield, Bedfordshire"
735,42,Indian Institute of Technology Kharagpur,72,India,Kharagpur
736,42,Shinshu University,72,Japan,"Matsumoto City, Nagano Prefecture"
737,42,University of Sherbrooke,72,Canada,"Sherbrooke, Québec"
738,42,University of the Western Cape,72,South Africa,Belville
739,41.9,University of Denver,72,United States,"Denver, CO"
740,41.9,University of Waikato,72,New Zealand,Hamilton
741,41.8,Bangor University,72,United Kingdom,"Bangor, Gwynedd"
742,41.8,CentraleSupelec,72,France,Chatenay-Malabry
743,41.8,University of New England,72,Australia,Armidale NSW
744,41.7,Liverpool School of Tropical Medicine,73,United Kingdom,"Liverpool, Lancashire"
745,41.6,Aberystwyth University,73,United Kingdom,Aberystwyth
746,41.6,Brandenburg University of Technology Cottbus,73,Germany,Cottbus
747,41.6,University of Ibadan,73,Nigeria,"Ibadan, Oyo State"
748,41.5,University of Montana,73,United States,"Missoula, MT"
749,41.4,Chiba University,73,Japan,"Chiba-shi, Chiba"
750,41.2,Universidad Carlos III de Madrid,73,Spain,Madrid
751,41.1,Indian Institute of Science Education & Research (IISER) - Pune,73,India,Pashan
752,41.1,Loyola University Chicago,73,United States,"Chicago, IL"
753,41.1,Nanjing University of Technology,73,China,"Nanjing, Jiangsu"
754,41.1,Tokyo Medical and Dental University,73,Japan,"Bunkyo-ku, Tokyo"
755,41,Carl von Ossietzky Universitat Oldenburg,74,Germany,Oldenburg
756,41,China University of Mining,74,China,"Xuzhou, Jiangsu"
757,40.9,Michigan Technological University,74,United States,"Houghton, MI"
758,40.9,University of Nevada--Las Vegas,74,United States,"Las Vegas, NV"
759,40.8,Indian Institute of Technology (IIT) - Roorkee,74,India,"Roorkee, Uttarakhand"
760,40.8,Koc University - Turkey,74,Turkey,Istanbul
761,40.8,Lulea University of Technology,74,Sweden,Lulea
762,40.7,Birkbeck University London,75,United Kingdom,London
763,40.7,University of Marrakech Cadi Ayyad,75,Morocco,"Marrakech, Morocco"
764,40.6,Indian Institute of Technology Kanpur,75,India,"Kanpur, Uttar Pradesh"
765,40.6,ITMO University,75,Russia,St. Petersburg
766,40.6,Southwest Jiaotong University,75,China,"Chengdu, Sichuan"
767,40.5,Gwangju Institute of Science and Technology,75,South Korea,"Gwangju, Jeolla"
768,40.5,National Taiwan University of Science and Technology,75,Taiwan,Taipei City
769,40.5,Northeastern University - China,75,China,Shenyang
770,40.5,Scuola Superiore Sant'Anna,75,Italy,Pisa
771,40.4,Augusta University,75,United States,"Augusta, GA"
772,40.4,California State University--Fullerton,75,United States,"Fullerton, CA"
773,40.4,National Institute for Applied Sciences - Lyon,75,France, Villeurbanne
774,40.4,Old Dominion University,75,United States,"Norfolk, VA"
775,40.3,Beijing University of Technology,76,China,Beijing
776,40.3,Ernst Moritz Arndt Universitat Greifswald,76,Germany,Greifswald
777,40.3,Polytechnic University of Bucharest,76,Romania,Bucharest
778,40.3,University of Delhi,76,India,New Delhi
779,40.3,University of Nevada--Reno,76,United States,"Reno, NV"
780,40.3,University of Patras,76,Greece,Rio Achaia
781,40.2,Indian Institute of Science Education & Research (IISER) - Kolkata,76,India,Nadia
782,40.2,Normandie Universite,76,France,Caen
783,40.2,Otto von Guericke University,76,Germany,Magdeburg
784,40.2,Universite Confederale Leonard de Vinci,76,France,Chasseneuil-du-Poitou
